time_group,US dollar
1999-01,1.1607800000000001
1999-02,1.120765
1999-03,1.088295652173913
1999-04,1.070440909090909
1999-05,1.0628095238095239
1999-06,1.0377545454545454
1999-07,1.035268181818182
1999-08,1.0603545454545455
1999-09,1.0500772727272727
1999-10,1.0706333333333333
1999-11,1.0338227272727272
1999-12,1.0110136363636364
2000-01,1.0136952380952382
2000-02,0.9834238095238096
2000-03,0.9643434782608695
2000-04,0.9469500000000001
2000-05,0.9059681818181818
2000-06,0.9491772727272728
2000-07,0.9396571428571429
2000-08,0.9040565217391304
2000-09,0.8721142857142856
2000-10,0.8551590909090909
2000-11,0.8563863636363636
2000-12,0.8973157894736842
2001-01,0.9382818181818181
2001-02,0.921705
2001-03,0.9095227272727272
2001-04,0.892
2001-05,0.8741636363636364
2001-06,0.8531666666666666
2001-07,0.8606636363636363
2001-08,0.9004826086956521
2001-09,0.9110950000000001
2001-10,0.9058652173913044
2001-11,0.8883090909090909
2001-12,0.8923722222222222
2002-01,0.8832863636363637
2002-02,0.870035
2002-03,0.8757999999999999
2002-04,0.885842857142857
2002-05,0.9169999999999999
2002-06,0.95544
2002-07,0.9921826086956521
2002-08,0.9777590909090909
2002-09,0.980795238095238
2002-10,0.981108695652174
2002-11,1.001361904761905
2002-12,1.0182550000000001
2003-01,1.0621863636363635
2003-02,1.077295
2003-03,1.080652380952381
2003-04,1.08476
2003-05,1.1581809523809523
2003-06,1.1662809523809525
2003-07,1.1371826086956522
2003-08,1.1138666666666668
2003-09,1.1221727272727273
2003-10,1.1691913043478261
2003-11,1.170195
2003-12,1.2285619047619047
2004-01,1.2613190476190477
2004-02,1.264645
2004-03,1.2261652173913042
2004-04,1.19854
2004-05,1.2007238095238095
2004-06,1.2138318181818182
2004-07,1.2265863636363636
2004-08,1.2175954545454546
2004-09,1.2217818181818183
2004-10,1.2489666666666668
2004-11,1.2991363636363635
2004-12,1.3407608695652173
2005-01,1.3119285714285713
2005-02,1.301425
2005-03,1.3200666666666667
2005-04,1.2937904761904762
2005-05,1.2693954545454547
2005-06,1.216490909090909
2005-07,1.2037190476190476
2005-08,1.2292434782608697
2005-09,1.225640909090909
2005-10,1.201452380952381
2005-11,1.1785727272727273
2005-12,1.185609523809524
2006-01,1.2103136363636364
2006-02,1.193835
2006-03,1.202
2006-04,1.2271166666666666
2006-05,1.2769590909090909
2006-06,1.2649954545454545
2006-07,1.2683666666666666
2006-08,1.2811304347826087
2006-09,1.2727428571428572
2006-10,1.2611045454545453
2006-11,1.2881409090909093
2006-12,1.321278947368421
2007-01,1.2998636363636364
2007-02,1.30742
2007-03,1.3241863636363638
2007-04,1.3516157894736842
2007-05,1.3511318181818182
2007-06,1.3418571428571429
2007-07,1.371559090909091
2007-08,1.3622478260869564
2007-09,1.389645
2007-10,1.4227478260869564
2007-11,1.4683636363636365
2007-12,1.4570368421052633
2008-01,1.471790909090909
2008-02,1.4748380952380953
2008-03,1.5526526315789473
2008-04,1.57505
2008-05,1.5556999999999999
2008-06,1.5552761904761905
2008-07,1.5769695652173912
2008-08,1.4975380952380952
2008-09,1.43695
2008-10,1.332208695652174
2008-11,1.273215
2008-12,1.3449428571428572
2009-01,1.3238666666666667
2009-02,1.27847
2009-03,1.304981818181818
2009-04,1.31903
2009-05,1.3650449999999998
2009-06,1.4016454545454544
2009-07,1.4087695652173913
2009-08,1.4268
2009-09,1.4561636363636365
2009-10,1.4816363636363634
2009-11,1.491447619047619
2009-12,1.461359090909091
2010-01,1.42721
2010-02,1.36857
2010-03,1.3568521739130435
2010-04,1.34057
2010-05,1.2565333333333333
2010-06,1.22085
2010-07,1.2770000000000001
2010-08,1.2894181818181818
2010-09,1.3067
2010-10,1.3897809523809523
2010-11,1.3660954545454547
2010-12,1.3220130434782609
2011-01,1.3359666666666665
2011-02,1.364895
2011-03,1.399917391304348
2011-04,1.444178947368421
2011-05,1.4348636363636365
2011-06,1.4388409090909091
2011-07,1.4264285714285714
2011-08,1.434321739130435
2011-09,1.377
2011-10,1.3706333333333334
2011-11,1.3555727272727274
2011-12,1.317904761904762
2012-01,1.2904863636363635
2012-02,1.3224095238095237
2012-03,1.3201
2012-04,1.3161736842105263
2012-05,1.278890909090909
2012-06,1.2526285714285714
2012-07,1.2288454545454546
2012-08,1.239995652173913
2012-09,1.28557
2012-10,1.2974173913043479
2012-11,1.2827727272727272
2012-12,1.311936842105263
2013-01,1.3288045454545454
2013-02,1.335905
2013-03,1.29636
2013-04,1.3026
2013-05,1.2982045454545454
2013-06,1.318875
2013-07,1.3080130434782609
2013-08,1.3309499999999999
2013-09,1.334790476190476
2013-10,1.363495652173913
2013-11,1.3492904761904763
2013-12,1.37036
2014-01,1.3610227272727273
2014-02,1.36585
2014-03,1.382252380952381
2014-04,1.38125
2014-05,1.3732142857142857
2014-06,1.3592380952380954
2014-07,1.3539173913043479
2014-08,1.3316095238095238
2014-09,1.2901363636363636
2014-10,1.2672739130434783
2014-11,1.24722
2014-12,1.2331333333333334
2015-01,1.1621333333333335
2015-02,1.134965
2015-03,1.083768181818182
2015-04,1.0779299999999998
2015-05,1.114955
2015-06,1.1213227272727273
2015-07,1.0995782608695652
2015-08,1.113904761904762
2015-09,1.1221181818181818
2015-10,1.1235090909090908
2015-11,1.0736
2015-12,1.0877181818181818
2016-01,1.085965
2016-02,1.1092952380952381
2016-03,1.1099666666666668
2016-04,1.1339190476190477
2016-05,1.1311090909090908
2016-06,1.1228909090909092
2016-07,1.106852380952381
2016-08,1.1211739130434781
2016-09,1.1212090909090908
